datetime,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,2015year,month,day,price_normed,Amazon_normed,Boeing_normed,Microsoft_normed,Starbucks_normed,Walmart_normed,DJI_normed
2014-05-02,4,2.0,1820,5000,1.5,0,1,3,7,1640,180,0,5,2,0.015380626890065153,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,2.25,2160,8119,1.0,0,0,3,8,1080,1080,0,5,2,-0.013948457729651144,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,2.5,2820,8408,2.0,0,0,3,9,2820,0,0,5,2,0.011889069197241786,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,2.5,3630,42884,1.5,0,0,3,9,2300,1330,0,5,2,-0.01953495003816853,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,2.5,3240,33151,2.0,0,2,3,10,3240,0,0,5,2,0.008956160735270155,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,2,1.0,800,4850,1.0,0,0,4,7,800,0,0,5,2,-0.013948457729651144,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,3.0,1850,19966,1.0,0,0,4,7,1090,760,0,5,2,-0.03528885834818757,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,2.0,1960,13100,1.0,0,2,5,8,1650,310,0,5,2,-0.01911596311502973,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,2.5,2390,6550,1.0,0,2,4,8,1440,950,0,5,2,0.029346857661358625,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,2.25,1580,16215,1.0,0,0,4,7,1580,0,0,5,2,-0.028613000039509288,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,2.0,1480,8625,1.0,0,0,4,7,1480,0,0,5,2,-0.039087673117979393,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,2,1.0,850,6174,1.0,0,0,4,7,850,0,0,5,2,-0.032314051193902064,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,2.5,1770,2875,2.0,0,0,3,8,1770,0,0,5,2,-0.013955440845036788,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,2,1.0,1210,9400,1.0,0,0,2,6,1210,0,0,5,2,-0.04257923081080276,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,1.0,1160,9180,1.0,0,0,3,7,1160,0,0,5,2,-0.03140624619376799,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,2.25,1970,35100,2.0,0,0,4,9,1970,0,0,5,2,-0.014297613498933482,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,2.5,1930,10460,2.0,0,0,3,8,1930,0,0,5,2,-0.018487482730321518,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,2.5,1270,1180,3.0,0,0,3,8,1270,0,0,5,2,-0.013152382575687413,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,2.5,3310,42998,2.0,0,0,3,9,3310,0,0,5,2,0.04163714074009688,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,2.75,2710,37277,2.0,0,0,3,9,2710,0,0,5,2,0.01258738073580646,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,1.75,2910,35200,1.5,0,0,3,8,2910,0,0,5,2,0.0014143961187716794,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,2.0,2710,4500,1.5,0,0,4,8,1880,830,0,5,2,0.03702828458557004,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,1.75,1800,23103,1.0,0,0,3,7,1800,0,0,5,2,-0.03573577773286896,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,5,2.5,2210,9655,1.0,0,0,3,8,1460,750,0,5,2,-0.0097585884982631,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,1.5,1920,10000,1.0,0,0,4,7,1070,850,0,5,2,-0.015345080806780487,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,1.75,2190,125452,1.0,0,2,3,9,2190,0,0,5,2,-0.006755848882435003,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,5,3.25,3660,11995,2.0,0,2,3,10,3660,0,0,5,2,0.034235038431311336,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,2.5,1770,1235,3.0,0,0,3,8,1600,170,0,5,2,-0.014491744106654459,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,3.25,1320,1327,2.0,0,0,3,8,1040,280,0,5,2,-0.02162988465386256,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,2,2.5,1630,1368,2.0,0,0,3,7,1280,350,0,5,2,-0.03419949234802668,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,2.5,3310,6500,2.0,0,0,3,8,3310,0,0,5,2,0.002112707657336353,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,2.5,2680,5539,2.0,0,0,3,8,2680,0,0,5,2,-0.011156608198469576,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,4,3.25,2730,54014,1.0,0,0,3,9,1560,1170,0,5,2,0.011889069197241786,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-02,3,2.5,2540,5050,2.0,0,0,3,7,2540,0,0,5,2,-0.033501180809462,0.1331647094466536,0.2902177988382385,0.05971545023696689,0.029911907912721636,0.3374200416170339,0.1822106048233256
2014-05-05,3,2.5,1900,8744,2.0,0,0,3,8,1900,0,0,5,5,0.0028110191959010273,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,1.0,1330,77972,1.0,0,0,3,7,1330,0,0,5,5,0.050296203818298836,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,2,3.0,1270,1175,2.0,0,0,3,8,1110,160,0,5,5,-0.0012391877277740805,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,4,3.0,2170,4000,2.0,0,0,4,9,1610,560,0,5,5,0.040659504586106336,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,4,2.5,2730,10281,2.0,0,2,3,9,2730,0,0,5,5,0.03353672689274667,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,4,1.5,1120,5427,1.0,0,0,3,6,1120,0,0,5,5,-0.04468813165726808,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,1.0,1340,306848,1.0,0,0,3,5,1340,0,0,5,5,-0.046070788503626135,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,4,2.5,2120,10202,1.0,0,0,4,7,1620,500,0,5,5,0.0300451691999233,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,2.5,2490,4343,2.0,0,0,3,9,2490,0,0,5,5,0.02311512549120748,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,4,2.25,1990,7712,1.0,0,0,3,8,1210,780,0,5,5,0.012168393812667657,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,4,3.0,3690,9892,2.0,0,0,3,10,3690,0,0,5,5,0.045408023048346124,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,2,1.0,2540,7000,1.0,0,0,5,8,1320,1220,0,5,5,0.005604265350159722,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,2.25,1800,36704,1.0,0,0,4,8,1360,440,0,5,5,-0.018138326961039185,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,4,3.0,2340,7048,1.0,0,0,4,8,1340,1000,0,5,5,-0.007663653882569078,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,2,1.75,2110,9519,1.0,0,0,2,7,2110,0,0,5,5,-0.01953495003816853,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,2,1.0,1140,5400,1.0,0,0,5,7,1140,0,0,5,5,0.001274733811058745,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,1.75,1480,2185,2.5,0,0,3,9,1480,0,0,5,5,0.011190757658677112,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,2,3.0,1410,1240,2.0,0,0,3,8,1140,270,0,5,5,-0.018836638499603858,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,2,1.0,1200,8063,1.0,0,0,4,6,1200,0,0,5,5,-0.042998217733941566,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,5,2.5,3180,13806,2.0,0,0,4,10,3180,0,0,5,5,0.03645092060548477,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,1.5,2160,9000,1.0,0,2,4,8,1400,760,0,5,5,0.015380626890065153,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,6,1.75,2920,5000,2.5,0,0,4,9,2780,140,0,5,5,0.039542206124402866,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,2.0,2350,5700,1.5,0,0,4,8,1810,540,0,5,5,0.03214010381561732,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,1.75,1560,5520,1.0,0,0,4,6,780,780,0,5,5,-0.0022168238817646237,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,5,2.75,2740,8426,1.0,0,0,4,8,1370,1370,0,5,5,0.0001748931378193839,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,2.5,1680,2000,3.0,0,0,3,9,1680,0,0,5,5,0.01817387304432385,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,5,2.5,3090,12750,1.0,0,0,3,8,1750,1340,0,5,5,-0.021643850884633845,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,2.25,1410,1332,3.0,0,0,3,8,1410,0,0,5,5,-0.018683009961119632,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,5,3.5,4010,8510,2.0,0,1,5,9,2850,1160,0,5,5,0.11942904613620152,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,4,2.5,3180,21904,2.0,0,3,3,9,3180,0,0,5,5,0.02746141650723401,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,1.75,1490,10125,1.0,0,0,4,7,1490,0,0,5,5,-0.04970200850416243,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,2.25,2010,6000,1.0,0,0,3,8,1330,680,0,5,5,0.004207642273030375,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,1.75,1330,7500,1.0,0,0,3,8,1330,0,0,5,5,0.03451436304673721,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,4,2.5,2370,6500,2.0,0,0,3,9,2370,0,0,5,5,-0.029590636193499838,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,5,2.0,1840,9240,1.0,0,0,4,7,1540,300,0,5,5,-0.014646769268215816,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,4,2.5,2910,6479,2.0,0,0,3,7,2910,0,0,5,5,-0.005708381574587992,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,4,1.0,2070,7519,1.0,0,0,3,7,1160,910,0,5,5,-0.005429056959162123,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,4,2.5,2800,5900,1.0,0,0,3,8,1660,1140,0,5,5,0.017475561505759175,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,4,2.5,4340,141570,2.5,0,0,3,11,4340,0,0,5,5,0.07683204228375644,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,2,1.0,840,5510,1.0,0,0,3,7,840,0,0,5,5,-0.01953495003816853,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,4,1.5,1240,9600,1.0,0,0,3,7,1240,0,0,5,5,-0.044674165426496784,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,4,1.0,1390,4240,1.0,0,0,3,7,1050,340,0,5,5,0.01637222927482699,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,4,2.75,2310,5000,2.0,0,0,3,7,2310,0,0,5,5,-0.032111540847718306,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,2.0,1050,10072,1.0,0,0,3,7,1050,0,0,5,5,-0.033501180809462,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,5,1.75,2550,71874,1.0,0,0,5,7,1810,740,0,5,5,-0.0019531414448026026,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,4,1.75,2010,3600,1.5,0,0,3,7,2010,0,0,5,5,0.02795023458422928,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,5,1.0,1120,9022,1.5,0,0,4,7,1120,0,0,5,5,-0.027914688500944616,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,4,2.75,2600,5390,1.0,0,0,4,8,1300,1300,0,5,5,0.044011399971216766,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,2.5,2230,4000,2.0,0,0,3,7,2230,0,0,5,5,-0.0197095279228097,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,2,1.0,810,7158,1.0,0,0,5,6,810,0,0,5,5,-0.04662943773447787,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,5,2.75,3190,16920,1.0,0,3,3,9,1690,1500,0,5,5,0.06845230382098036,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,1.75,1670,39639,1.0,0,0,4,8,1670,0,0,5,5,0.008397511504418417,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,4,1.75,1970,9389,1.0,0,0,5,7,1140,830,0,5,5,-0.022335179307812883,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,1.0,1450,6000,1.0,0,0,4,7,1450,0,0,5,5,-0.035316790809730166,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,7,8.0,13540,307752,3.0,0,4,3,12,9410,4130,0,5,5,0.2430301884621488,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,2.5,1880,7838,2.0,0,0,3,7,1880,0,0,5,5,-0.032111540847718306,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,1.75,1880,6360,1.0,0,0,4,7,1040,840,0,5,5,0.008397511504418417,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,2.0,1410,6030,1.5,0,0,4,7,1410,0,0,5,5,-0.017021028499335702,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,4,2.0,1480,3844,1.5,0,0,5,7,1480,0,0,5,5,-0.012656581383306496,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,2,1.0,1140,5250,1.5,0,0,4,6,1140,0,0,5,5,-0.02931829469345961,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,1.75,1920,9306,1.0,0,0,3,7,1000,920,0,5,5,-0.04118260773367342,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,4,2.5,2910,6338,2.0,0,0,3,8,2910,0,0,5,5,0.001274733811058745,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
2014-05-05,3,2.5,3240,7857,2.0,0,0,3,10,3240,0,0,5,5,0.036329973047005366,0.1460637172076021,0.3407558248308323,0.03507099526066351,0.03929607268598665,0.3082314920515201,0.1903437107490888
